CanId.,Sequence,CompanyName,CompanyAddress,CompanyCity,CompanyZipCode,CompanyPhone,JobStart,JobEnd,JobTitle,SalaryStart,SalaryEnd,TerminationReason,UpdDate,UpdUser,UpdFlag,Description,FgCase,Performance,SprName,SprPhone
10228,,"PT Larona Prima Solusi",,,,,2019-10-01,2019-12-01,,,0,,,"2023-07-31 16:26:36",10229,,"Tidak ada",,,,
10228,,UPJ,,,,,2021-02-01,2023-03-01,,,0,,,"2023-07-31 16:26:46",10229,,Design,,,,
